Datacode,Rectype,RecYear,monthday,Watershed,fireFrequency,LastFire,LastWildfire,Species,CensusReplicate,GalledStems,SampledStems
cgp01,1,1988,,010a,10,8,,ceanothus,1,53,100
cgp01,1,1988,,010a,10,8,,ceanothus,2,36,100
cgp01,1,1988,,010a,10,8,,ceanothus,3,78,100
cgp01,1,1988,,010a,10,8,,ceanothus,4,80,100
cgp01,1,1988,,010a,10,8,,solidago,1,8,200
cgp01,1,1988,,010a,10,8,,solidago,2,16,200
cgp01,1,1988,,010a,10,8,,solidago,3,18,200
cgp01,1,1988,,010a,10,8,,solidago,4,6,200
cgp01,1,1988,,010a,10,8,,solidago,5,0,200
cgp01,1,1988,,010a,10,8,,solidago,6,106,200
cgp01,1,1988,,010a,10,8,,solidago,7,74,200
cgp01,1,1988,,010a,10,8,,solidago,8,4,200
cgp01,1,1988,,010a,10,8,,solidago,9,6,200
cgp01,1,1988,,010a,10,8,,solidago,10,0,200
cgp01,1,1988,,010a,10,8,,vernonia,1,17,50
cgp01,1,1988,,010a,10,8,,vernonia,2,22,50
cgp01,1,1988,,010a,10,8,,vernonia,3,14,50
cgp01,1,1988,,010a,10,8,,vernonia,4,5,50
cgp01,1,1988,,001a,1,1,,solidago,1,0,200
cgp01,1,1988,,001a,1,1,,solidago,2,0,200
cgp01,1,1988,,001a,1,1,,solidago,3,0,200
cgp01,1,1988,,001a,1,1,,solidago,4,0,200
cgp01,1,1988,,001a,1,1,,solidago,5,0,200
cgp01,1,1988,,001a,1,1,,solidago,6,0,200
cgp01,1,1988,,001a,1,1,,solidago,7,0,200
cgp01,1,1988,,001a,1,1,,solidago,8,0,200
cgp01,1,1988,,001a,1,1,,solidago,9,0,200
cgp01,1,1988,,001a,1,1,,solidago,10,0,200
cgp01,1,1988,,004c,1,1,,ceanothus,1,30,100
cgp01,1,1988,,004c,1,1,,ceanothus,2,19,100
cgp01,1,1988,,004c,1,1,,ceanothus,3,21,100
cgp01,1,1988,,004c,1,1,,ceanothus,4,27,100
cgp01,1,1988,,004c,1,1,,vernonia,1,2,50
cgp01,1,1988,,004c,1,1,,vernonia,2,1,50
cgp01,1,1988,,004c,1,1,,vernonia,3,1,50
cgp01,1,1988,,004c,1,1,,vernonia,4,1,50
cgp01,1,1988,,004a,4,1,,ceanothus,1,26,100
cgp01,1,1988,,004a,4,1,,ceanothus,2,19,100
cgp01,1,1988,,004a,4,1,,ceanothus,3,21,100
cgp01,1,1988,,004a,4,1,,ceanothus,4,19,100
cgp01,1,1988,,004a,4,1,,solidago,1,0,200
cgp01,1,1988,,004a,4,1,,solidago,2,0,200
cgp01,1,1988,,004a,4,1,,solidago,3,0,200
cgp01,1,1988,,004a,4,1,,solidago,4,0,200
cgp01,1,1988,,004a,4,1,,solidago,5,0,200
cgp01,1,1988,,004a,4,1,,solidago,6,2,200
cgp01,1,1988,,004a,4,1,,solidago,7,0,200
cgp01,1,1988,,004a,4,1,,solidago,8,0,200
cgp01,1,1988,,004a,4,1,,solidago,9,2,200
cgp01,1,1988,,004a,4,1,,solidago,10,0,200
cgp01,1,1988,,004a,4,1,,vernonia,1,4,50
cgp01,1,1988,,004a,4,1,,vernonia,2,6,50
cgp01,1,1988,,004a,4,1,,vernonia,3,6,50
