LTER.site	Locale	Species.code	Year	N.Obs	Abundance
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	1982	16	428
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	1983	13	2381
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	1984	18	4119
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	1985	14	1358
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	1986	30	2002
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	1987	32	4223
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	1988	8	883
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	1989	4	2390
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	1990	8	1544
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	1991	8	2009
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	1996	4	496
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	1997	10	1347
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	1998	6	1183
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	1999	10	370
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2000	6	976
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2001	6	658
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2002	8	2075
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2003	9	1216
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2004	8	658
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2005	12	626
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2006	10	317
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2007	11	822
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2008	10	1187
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2009	14	1046
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2010	8	143
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2011	10	1073
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2012	8	1700
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2013	8	3087
KonzaPrairie	grasshopper	Phoetaliotes nebrascensis	2014	8	554
