LTER.site	Locale	Year1	Year2	Beta.2	Beta.j	Beta.bray
KonzaPrairie	grasshopper	1982	1983	0.142857142857143	0.375	0.545897644191714
KonzaPrairie	grasshopper	1983	1984	0.136363636363636	0.28	0.324910838421084
KonzaPrairie	grasshopper	1984	1985	0.0909090909090909	0.333333333333333	0.492876712328767
KonzaPrairie	grasshopper	1985	1986	0.0384615384615385	0.37037037037037	0.205006091482999
KonzaPrairie	grasshopper	1986	1987	0.115384615384615	0.413793103448276	0.28737702646529
KonzaPrairie	grasshopper	1987	1988	0.05	0.238095238095238	0.696468401486989
KonzaPrairie	grasshopper	1988	1989	0	0.15	0.523560968537045
KonzaPrairie	grasshopper	1989	1990	0.1	0.181818181818182	0.233598875351453
KonzaPrairie	grasshopper	1990	1991	0.05	0.238095238095238	0.198033189920098
KonzaPrairie	grasshopper	1991	1996	0.263157894736842	0.5	0.61402956904687
KonzaPrairie	grasshopper	1996	1997	0.15	0.304347826086957	0.556076226179319
KonzaPrairie	grasshopper	1997	1998	0	0.230769230769231	0.178411131059246
KonzaPrairie	grasshopper	1998	1999	0.153846153846154	0.366666666666667	0.478324225865209
KonzaPrairie	grasshopper	1999	2000	0.0384615384615385	0.185185185185185	0.222649807586586
KonzaPrairie	grasshopper	2000	2001	0.148148148148148	0.290322580645161	0.238359201773836
KonzaPrairie	grasshopper	2001	2002	0.027027027027027	0.315789473684211	0.707711704139525
KonzaPrairie	grasshopper	2002	2003	0.0540540540540541	0.256410256410256	0.3437212158428
KonzaPrairie	grasshopper	2003	2004	0.0967741935483871	0.235294117647059	0.351619644723093
KonzaPrairie	grasshopper	2004	2005	0.0689655172413793	0.129032258064516	0.178874949413193
KonzaPrairie	grasshopper	2005	2006	0.129032258064516	0.285714285714286	0.305423907319642
KonzaPrairie	grasshopper	2006	2007	0.0882352941176471	0.243243243243243	0.454043101860379
KonzaPrairie	grasshopper	2007	2008	0.128205128205128	0.340909090909091	0.205149801467934
KonzaPrairie	grasshopper	2008	2009	0.0769230769230769	0.357142857142857	0.247699483171562
KonzaPrairie	grasshopper	2009	2010	0	0.366666666666667	0.668416030534351
KonzaPrairie	grasshopper	2010	2011	0.0333333333333333	0.419354838709677	0.567483710828421
KonzaPrairie	grasshopper	2011	2012	0.15625	0.324324324324324	0.30391201447863
KonzaPrairie	grasshopper	2012	2013	0.1875	0.447368421052632	0.397398116869115
KonzaPrairie	grasshopper	2013	2014	0.178571428571429	0.333333333333333	0.503464383028416
KonzaPrairie	grasshopper	2014	2015	0.178571428571429	0.393939393939394	0.316577724221036
KonzaPrairie	grasshopper	2015	2016	0.12	0.321428571428571	0.203360031256105
KonzaPrairie	grasshopper	2016	2017	0.125	0.296296296296296	0.29452736318408
KonzaPrairie	grasshopper	2017	2018	0.0625	0.352941176470588	0.398306924245713
KonzaPrairie	grasshopper	2018	2019	0.0303030303030303	0.0882352941176471	0.283258397249405
KonzaPrairie	grasshopper	2019	2020	0.0303030303030303	0.264705882352941	0.478473780861049
