LTER.site	Locale	Year	N.obs	Total.abundance	N.species	Species.evenness	Species.decay.rate	Fishers.alpha	Dominance	N.species.rarefied
KonzaPrairie	grasshopper	1982	17	1731	18	0.663960901607045	0.327101961658543	2.80006198449117	0.321201617562103	16.3868278449394
KonzaPrairie	grasshopper	1983	21	5655	21	0.58003780808481	0.370110129492188	2.75297964261464	0.4210433244916	15.1862268904176
KonzaPrairie	grasshopper	1984	24	10888	22	0.568751155178391	0.373836098567983	2.64304717312364	0.37830639235856	13.537003307709
KonzaPrairie	grasshopper	1985	14	3712	18	0.604036241181294	0.373104911052434	2.45892827138218	0.365840517241379	13.2855833184991
KonzaPrairie	grasshopper	1986	32	5317	26	0.598808150934214	0.31641259437662	3.55650111627292	0.376528117359413	18.2310118754627
KonzaPrairie	grasshopper	1987	33	9117	20	0.581216048177838	0.361728762129914	2.43006091908795	0.463200614237139	15.1226469165095
KonzaPrairie	grasshopper	1988	8	1643	17	0.571610265693627	0.384847311655499	2.64208225117495	0.537431527693244	14.2108761931515
KonzaPrairie	grasshopper	1989	4	5254	20	0.580202434216387	0.360036700342572	2.63171374415308	0.454891511229539	15.7459981147832
KonzaPrairie	grasshopper	1990	8	3282	20	0.560965942634363	0.380763930017011	2.83483343358003	0.470444850700792	13.5460801378732
KonzaPrairie	grasshopper	1991	8	4853	17	0.585888567962818	0.397956525654694	2.2091724789791	0.413970739748609	12.7099583471615
KonzaPrairie	grasshopper	1996	4	1505	19	0.626662101310038	0.345574074662753	3.06528665912557	0.329568106312292	16.869113313708
KonzaPrairie	grasshopper	1997	10	4897	20	0.620500253553407	0.336499199466867	2.66008226957109	0.320196038390852	15.5225992910416
KonzaPrairie	grasshopper	1998	6	4015	26	0.543612108766533	0.339731720661827	3.72264302847552	0.418181818181818	18.4085722331576
KonzaPrairie	grasshopper	1999	10	1475	23	0.524904428150535	0.400242419069072	3.86794591740975	0.455593220338983	18.0716568947519
KonzaPrairie	grasshopper	2000	6	2163	26	0.487387450543854	0.409887025648191	4.15552401150975	0.451225150254276	19.5564014290311
KonzaPrairie	grasshopper	2001	6	1445	27	0.499980369639163	0.372890437741146	4.71303866575903	0.455363321799308	22.6482079824452
KonzaPrairie	grasshopper	2002	8	8073	37	0.617054424642428	0.23617686422718	5.00981536188282	0.28254676080763	28.5602241150094
KonzaPrairie	grasshopper	2003	10	4955	31	0.662394616765554	0.2310497131559	4.41315554210235	0.281937436932392	25.8505960728285
KonzaPrairie	grasshopper	2004	8	2701	29	0.624541544490249	0.271428736153052	4.53792523391747	0.243613476490189	23.1053067983541
KonzaPrairie	grasshopper	2005	12	2241	29	0.627740512344426	0.260819267877054	4.70091110335912	0.303882195448461	25.3662597618871
KonzaPrairie	grasshopper	2006	10	1557	31	0.694348813436679	0.219155206059283	5.48471920192228	0.203596660244059	25.8615176180766
KonzaPrairie	grasshopper	2007	11	3872	34	0.668580158804112	0.224315777308863	5.12994137612537	0.229338842975207	25.0634702369331
KonzaPrairie	grasshopper	2008	10	4439	39	0.616120523524314	0.238281098009838	5.88491175801766	0.267402568145979	27.6465966881477
KonzaPrairie	grasshopper	2009	14	3494	30	0.586136692416697	0.301617507130836	4.50847642226332	0.299370349170006	21.2496228544611
KonzaPrairie	grasshopper	2010	8	698	19	0.738748608294903	0.254249184302206	3.60450149972579	0.212034383954155	19
KonzaPrairie	grasshopper	2011	10	2525	30	0.573884985915437	0.30354142241366	4.78426409771573	0.424950495049505	23.3690135676443
KonzaPrairie	grasshopper	2012	8	4658	32	0.605730886162199	0.269804296713835	4.62739338086527	0.364963503649635	23.6277467294176
KonzaPrairie	grasshopper	2013	8	9255	27	0.658325776620885	0.249192851172479	3.4155862881268	0.33354943273906	22.6572103586641
KonzaPrairie	grasshopper	2014	8	3590	28	0.713256164760139	0.215261583587666	4.13778993609649	0.294150417827298	23.0022295137155
KonzaPrairie	grasshopper	2015	8	2219	25	0.636642781368213	0.277428719868609	3.94721562518268	0.416854438936458	21.9910219458978
KonzaPrairie	grasshopper	2016	14	2904	22	0.55377654385958	0.345041847883005	3.23559459851309	0.54	18.7826205276841
KonzaPrairie	grasshopper	2017	6	5143	24	0.546053051088578	0.350640157993507	3.2591023713628	0.494941634241245	18.6513057028341
KonzaPrairie	grasshopper	2018	16	4109	32	0.679751011848413	0.218385401028886	4.73468995347507	0.284486990672558	24.9309309293094
KonzaPrairie	grasshopper	2019	10	4092	33	0.660305906935367	0.222542442716401	5.04590874609474	0.259174311926606	27.1514609579632
KonzaPrairie	grasshopper	2020	12	2561	26	0.72047810318028	0.21076762138033	4.52386269360024	0.228591648973815	24.815798518951
