ageneotett deorum,Ageneotettix deorum
Ageneotettix deorum,Ageneotettix deorum
arphia conspersa,Arphia conspersa
Arphia conspersa,Arphia conspersa
arphia simplex,Arphia simplex
Arphia simplex,Arphia simplex
arphia species,Arphia spp.
arphia spp.,Arphia spp.
Arphia spp.,Arphia spp.
arphia xanthopte,Arphia xanthoptera
Arphia xanthoptera,Arphia xanthoptera
boopedon auriventr,Boopedon auriventris
Boopedon auriventris,Boopedon auriventris
boopedon gracile,Boopedon gracile
Boopedon gracile,Boopedon gracile
boopedon nubilum,Boopedon nubilum
Boopedon spp.,Boopedon spp.
brachystol magna,Brachystola magna
Brachystola magna,Brachystola magna
campylacan olivacea,Campylacantha olivacea
Campylacantha olivacea,Campylacantha olivacea
chortophag viridifas,Chrotophag viridifas
encoptolop sordidus,Encoptolop soridus
encoptolop spp.,Encoptolop spp.
encoptolop subgracil,Encoptolop subracil
eritettix simplex,Eritettix simplex
Gryllidae spp.,Gryllidae spp.
hadrotetti trifascia,Hadrotettix trifasciatus
Hadrotettix trifasciatus,Hadrotettix trifasciatus
hesperotet species,Hesperotettix spp.
hesperotet speciosus,Hesperotettix speciosus
hesperotet spp.,Hesperotettix spp.
hesperotet viridis,Hesperotettix viridis
Hesperotettix speciosus,Hesperotettix speciosus
Hesperotettix spp.,Hesperotettix spp.
Hesperotettix viridis,Hesperotettix viridis
hippiscus rugosus,Hipposicus rugosus
hypochlora alba,Hypochlora alba
Hypochlora alba,Hypochlora alba
melanoplus angustipe,Melanoplus angustipe
melanoplus bivittatu,Melanoplus bivittatus
Melanoplus bivittatus,Melanoplus bivittatus
melanoplus confusus,Melanoplus confusus
Melanoplus confusus,Melanoplus confusus
melanoplus different,Melanoplus differentialis
melanoplus femurrubr,Melanoplus femurrubrum
Melanoplus femurrubrum,Melanoplus femurrubrum
melanoplus foedus,Melanoplus foedus
melanoplus keeleri,Melanoplus keeleri
Melanoplus keeleri,Melanoplus keeleri
melanoplus occidenta,Melanoplus occidenta
melanoplus packardii,Melanoplus packardii
Melanoplus packardii,Melanoplus sanguinipes
melanoplus sanguinip,Melanoplus sanguinipes
Melanoplus sanguinipes,Melanoplus sanguinipes
melanoplus scudderi,Melanoplus scudderi
Melanoplus scudderi,Melanoplus scudderi
melanoplus species,Melanoplus spp.
melanoplus spp.,Melanoplus spp.
Melanoplus spp.,Melanoplus spp.
mermiria bivitatta,Mermiria bivittata
mermiria bivittata,Mermiria bivittata
Mermiria bivittata,Mermiria bivittata
mermiria picta,Mermiria picta
Mermiria picta,Mermiria picta
mermiria species,Mermiria spp.
mermiria spp.,Mermiria spp.
Mermiria spp.,Mermiria spp.
Oecanthinae spp.,Oecanthinae spp.
oedipodinae,Oedipodinae spp.
Oedipodinae spp.,Oedipodinae spp.
opeia obscura,Opeia obscura
orphulella speciosa,Orphulella speciosa
Orphulella speciosa,Orphulella speciosa
orphullela speciosa,Orphulella speciosa
paratylota brunneri,Paratylotr brunneri
paratylotr brunneri,Paratylotr brunneri
pardalopho apiculata,Pardalopho apiculata
pardalopho haldemani,Pardalophora haldemani
pardalopho species,Pardalophora spp.
pardalopho spp.,Pardalophora spp.
Pardalophora haldemani,Pardalophora haldemani
Pardalophora spp.,Pardalophora spp.
phoetaliot nebrascen,Phoetaliotes nebrascensis
Phoetaliotes nebrascensis,Phoetaliotes nebrascensis
pseudopoma brachypte,Pseudopoma brachypte
psoloessa delicatul,Psoloessa delicatula
schistocer lineata,Schistocerca lineata
schistocer obscura,Schistocerca obscura
Schistocerca lineata,Schistocerca lineata
Schistocerca obscura,Schistocerca obscura
syrbula admirabil,Syrbula admirabilis
Syrbula admirabilis,Syrbula admirabilis
Tettigoniidae spp.,Tettigoniidae spp.
xanthippus corallipe,Xanthippus corallipe
