LTER.site,Locale,Species.code,Year,N.Obs,Abundance,Order,Species,Feeding,Habitat,Pollinator
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,1982,16,428,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,1983,13,2381,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,1984,18,4119,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,1985,14,1358,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,1986,30,2002,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,1987,32,4223,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,1988,8,883,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,1989,4,2390,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,1990,8,1544,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,1991,8,2009,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,1996,4,496,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,1997,10,1347,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,1998,6,1183,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,1999,10,370,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2000,6,976,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2001,6,658,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2002,8,2075,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2003,9,1216,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2004,8,658,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2005,12,626,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2006,10,317,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2007,11,822,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2008,10,1187,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2009,14,1046,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2010,8,143,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2011,10,1073,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2012,8,1700,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2013,8,3087,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2014,8,554,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,2015,8,270,Orthoptera,Phoetaliotes nebrascensis,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,1982,13,221,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,1983,14,680,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,1984,19,1169,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,1985,13,382,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,1986,32,698,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,1987,32,1106,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,1988,8,140,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,1989,4,291,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,1990,8,231,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,1991,8,220,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,1996,1,3,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,1997,1,2,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,1998,2,3,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,1999,5,34,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2000,6,54,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2001,5,32,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2002,8,290,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2003,10,102,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2004,0,0,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2005,8,54,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2006,9,17,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2007,8,96,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2008,9,102,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2009,10,67,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2010,7,18,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2011,9,80,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2012,8,89,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2013,8,177,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2014,4,62,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,2015,7,32,NA,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,1982,11,32,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,1983,14,62,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,1984,21,187,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,1985,10,47,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,1986,26,162,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,1987,23,104,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,1988,3,5,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,1989,4,14,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,1990,5,12,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,1991,6,24,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,1996,4,16,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,1997,9,92,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,1998,6,93,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,1999,3,5,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2000,3,5,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2001,4,13,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2002,8,145,Orthoptera,NA,herbivore,terrestrial,n
