LTER,Site,Species,MSE,b,coef_int,coef_slope,Pr_int,Pr_slope,logLik,length,Y1,Y2,Feeding,Habitat,Pollinator,Order
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,0.849518891971884,0.0404354878522872,0.698524364442339,-1.39121614281676,0.049887172919793,0.0231822764047272,16.2922827842931,30,1982,2015,herbivore,terrestrial,n,Orthoptera
KonzaPrairie,grasshopper,Melanoplus scudderi,0.673304509406412,0.535484173510087,0.794239750734702,-1.5667043516822,0.177853282930558,0.113867861180492,20.6901438711943,30,1982,2015,herbivore,terrestrial,n,NA
KonzaPrairie,grasshopper,Melanoplus bivittatus,0.923802892082217,0.420411493002628,0.088640670686192,-0.202061322833112,0.874802438017224,0.830937455418735,15.9440330107726,30,1982,2015,herbivore,terrestrial,n,Orthoptera
KonzaPrairie,grasshopper,Melanoplus confusus,1.00548217879252,0.271129877694685,-0.0531652753669148,0.130921952739623,0.911766623804575,0.871826835962524,14.4031307523335,30,1982,2015,herbivore,terrestrial,n,Orthoptera
KonzaPrairie,grasshopper,Orphulella speciosa,0.973866928196126,0.149960207998993,0.408238817829169,-0.833087142315841,0.325045321181915,0.238168611167058,14.5944981066565,30,1982,2015,herbivore,terrestrial,n,Orthoptera
KonzaPrairie,grasshopper,Mermiria bivittata,0.997615228705866,0.174586777541181,-0.2972603471498,0.58239733827422,0.488611279626127,0.424151425525111,14.3074149079546,30,1982,2015,herbivore,terrestrial,n,Orthoptera
KonzaPrairie,grasshopper,Melanoplus keeleri,0.928239423083349,0.237406878327993,0.475723087362453,-0.969458817005573,0.287489011913296,0.202376184767828,15.4486003734786,30,1982,2015,herbivore,terrestrial,n,Orthoptera
KonzaPrairie,grasshopper,Hypochlora alba,0.66683484966106,0.301530767189575,0.927303074941467,-1.84786999510874,0.0287395641452994,0.0111011008369849,20.2208139827694,30,1982,2015,herbivore,terrestrial,n,Orthoptera
KonzaPrairie,grasshopper,Hesperotettix speciosus,0.582177948532062,0.313825876214758,-1.01029014632865,2.04644043427145,0.0131909198989341,0.00363432075908906,22.1496384973601,30,1982,2015,herbivore,terrestrial,n,Orthoptera
KonzaPrairie,grasshopper,Boopedon auriventris,0.860866836375204,0.197357792464244,0.648706661762994,-1.27345819532812,0.119152884300006,0.0730463106244083,16.4185906595013,30,1982,2015,herbivore,terrestrial,n,Orthoptera
